time,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level
19-Jul-2025 01:30:00,69.2029541047188,69.0129541047188,65.2669941822883,71.2202391725921,1019,68,1019,1015
19-Jul-2025 01:40:00,68.9935164835165,68.8035164835165,64.9024175824176,70.8750549450549,1019,68,1019,1015
19-Jul-2025 01:50:00,68.7840788623142,68.5940788623142,64.5378409825469,70.5298707175178,1019,69,1019,1015
19-Jul-2025 02:00:00,68.5671764310895,68.3768071176767,64.1763639415813,70.1895400369313,1019,69,1019,1015
19-Jul-2025 02:10:00,68.255945945946,68.0605405405405,63.8540540540541,69.9105405405405,1019,69,1019,1015
19-Jul-2025 02:20:00,67.9447154608024,67.7442739634044,63.5317441665268,69.6315410441497,1019,69,1019,1015
19-Jul-2025 02:30:00,67.6334849756589,67.4280073862683,63.2094342789995,69.3525415477589,1019,69,1019,1015
19-Jul-2025 02:40:00,67.3222544905154,67.1117408091321,62.8871243914722,69.0735420513681,1019,69,1019,1015
19-Jul-2025 02:50:00,67.0110240053718,66.795474231996,62.5648145039449,68.7945425549773,1019,75,1019,1016
19-Jul-2025 03:00:00,66.6997935202283,66.4792076548598,62.2425046164177,68.5155430585865,1019,75,1019,1016
19-Jul-2025 03:10:00,66.3885630350848,66.1629410777237,61.9201947288904,68.2365435621957,1019,75,1019,1016
19-Jul-2025 03:20:00,66.0773325499412,65.8466745005876,61.5978848413631,67.9575440658049,1019,75,1019,1016
19-Jul-2025 03:30:00,65.7661020647977,65.5304079234514,61.2755749538358,67.6785445694141,1019,75,1019,1016
19-Jul-2025 03:40:00,65.4784710561202,65.2365488289881,60.9765488289881,67.4338488731772,1019,75,1019,1016
19-Jul-2025 03:50:00,65.329995581087,65.0748166151127,60.8148166151127,67.391427308882,1019,75,1019,1016
19-Jul-2025 04:00:00,65.1815201060539,64.9130844012373,60.6530844012373,67.3490057445868,1019,75,1019,1016
19-Jul-2025 04:10:00,65.0330446310208,64.7513521873619,60.4913521873619,67.3065841802917,1019,75,1019,1016
19-Jul-2025 04:20:00,64.8392629606496,64.5464647095565,60.2486883198001,67.1638725796377,1019,75,1019,1016
19-Jul-2025 04:30:00,64.5694316052467,64.2691380387258,59.8701748906933,66.8528169893816,1019,76,1019,1016
19-Jul-2025 04:40:00,64.2996002498438,63.9918113678951,59.4916614615865,66.5417613991255,1019,76,1019,1016
19-Jul-2025 04:50:00,63.8830338983051,63.5802033898305,59.2509491525424,66.3352881355932,1019,77,1019,1016
19-Jul-2025 05:00:00,63.4245485961123,63.0628250539957,59.7255853131749,65.489464362851,1019,77,1019,1016
19-Jul-2025 05:10:00,62.9735766738661,62.5263239740821,60.453879049676,64.3801771058315,1019,77,1019,1016
19-Jul-2025 05:20:00,62.5226047516199,61.9898228941685,61.1821727861771,63.2708898488121,1020,74,1020,1016
19-Jul-2025 05:30:00,62.0716328293736,61.4533218142549,61.9104665226782,62.1616025917927,1020,74,1020,1016
19-Jul-2025 05:40:00,62.8833333333333,62.5433333333333,58.19,65.08,1020,78,1020,1016
19-Jul-2025 05:50:00,62.7859852476291,62.4365015806112,58.0738250790306,65.0468071654373,1020,78,1020,1016
19-Jul-2025 06:00:00,62.7006322444679,62.3385036880927,57.9189251844046,65.002550052687,1019,78,1019,1016
19-Jul-2025 06:10:00,62.6152792413066,62.2405057955743,57.7640252897787,64.9582929399368,1019,78,1019,1016
19-Jul-2025 06:20:00,62.4443918547056,62.0508310401761,57.6128233351679,64.825701706109,1019,78,1019,1016
19-Jul-2025 06:30:00,62.2132416070446,61.796565767749,57.4642267473858,64.6308750687947,1020,78,1020,1015
19-Jul-2025 06:40:00,61.9820913593836,61.542300495322,57.3156301596037,64.4360484314805,1020,78,1020,1015
19-Jul-2025 06:50:00,61.88,61.4122516556291,57.2100662251656,64.2435099337748,1020,78,1020,1015
19-Jul-2025 07:00:00,61.7895477386935,61.3334673366834,57.180351758794,64.0738190954774,1019,77,1019,1015
19-Jul-2025 07:10:00,61.488040201005,61.1450251256281,57.2481909547739,63.953216080402,1019,81,1019,1015
19-Jul-2025 07:20:00,61.2689904357067,60.904165781084,57.25,63.7700212539851,1019,81,1019,1015
19-Jul-2025 07:30:00,61.0595364238411,60.6730993377483,57.2693112582782,63.5151655629139,1019,81,1019,1015
19-Jul-2025 07:40:00,60.8737037037037,60.4655555555556,57.31,63.21,1019,81,1019,1015
19-Jul-2025 07:50:00,60.8611450381679,60.4511450381679,56.8406870229008,63.21,1019,81,1019,1015
19-Jul-2025 08:00:00,60.8519847328244,60.4419847328244,56.3551908396947,63.21,1019,81,1019,1015
19-Jul-2025 08:10:00,60.6514734774067,60.2230058939096,56.0791748526523,63.0853438113949,1019,81,1019,1015
19-Jul-2025 08:20:00,60.3980353634578,59.9459921414538,55.8611001964637,62.9262082514735,1019,81,1019,1015
19-Jul-2025 08:30:00,60.1445972495088,59.668978388998,55.643025540275,62.7670726915521,1019,81,1019,1015
19-Jul-2025 08:40:00,59.9451079136691,59.4494964028777,55.4146043165468,62.67,1019,81,1019,1015
19-Jul-2025 08:50:00,59.83,59.32,55.17,62.67,1019,81,1019,1015
19-Jul-2025 09:00:00,59.7070864946889,59.1834294385433,55.17,62.4651441578149,1019,81,1019,1015
19-Jul-2025 09:10:00,59.5841729893778,59.0468588770865,55.17,62.2602883156297,1019,81,1019,1015
19-Jul-2025 09:20:00,59.3958150851581,58.8440875912409,55.2325466342255,62.1144525547445,1019,81,1019,1015
